Accessions	Gene	Description	GeneSymbol	Unique_peptides	MCF7.SiCTRL.EtOH.Rep.1	MCF7.SiCTRL.EtOH.Rep.2	MCF7.SiCTRL.E2.Rep.1	MCF7.SiCTRL.E2.Rep.2	MCF7.SiCTRL.E2.Rep.3	MCF7.SiCTRL.E2.Rep.4	MCF7.SiCTRL.EtOH.Rep.3	MCF7.SiCTRL.EtOH.Rep.4	log2FC	AvgIntensity	t	P.Value	adj.P.Val	B
Q96FJ2	DYL2_HUMAN	"Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1"	DYNLL2	2	8.62	9.12	8.82	9.69	8.33	7.89	7.86	7.59	0.39	8.511954654	1.95	0.07	0.26	-5.04
O75396	SC22B_HUMAN	Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=4	SEC22B	2	7.84	7.45	7.42	7.16	7.59	7.8	7.71	7.88	-0.23	7.609026461	-1.94	0.071	0.26	-5.05
Q96PM9	Z385A_HUMAN	Zinc finger protein 385A OS=Homo sapiens OX=9606 GN=ZNF385A PE=1 SV=2	ZNF385A	1	3.16	3.36	2.74	2.39	3.35	3.09	3.93	2.95	-0.46	3.112378858	-1.94	0.072	0.26	-5.06
Q9Y6D9	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens OX=9606 GN=MAD1L1 PE=1 SV=2	MAD1L1	1	4.21	3.81	3.98	3.84	2.22	2.7	3.01	3.07	-0.34	3.286176734	-1.94	0.072	0.26	-5.06
Q86SE9	PCGF5_HUMAN	Polycomb group RING finger protein 5 OS=Homo sapiens OX=9606 GN=PCGF5 PE=1 SV=1	PCGF5	1	4.77	5.39	5.72	5.91	5.02	4.03	4.69	3.89	0.49	4.926595858	1.94	0.072	0.26	-5.06
Q92585	MAML1_HUMAN	Mastermind-like protein 1 OS=Homo sapiens OX=9606 GN=MAML1 PE=1 SV=3	MAML1	4	8.56	8.69	8.61	8.92	8.54	8	8.02	7.53	0.32	8.324939493	1.94	0.073	0.26	-5.07
P30084	ECHM_HUMAN	"Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4"	ECHS1	9	10.08	10.34	10.05	9.41	9.87	9.52	10.19	9.55	-0.33	9.774910909	-1.93	0.074	0.27	-5.08
Q96RY7	IF140_HUMAN	Intraflagellar transport protein 140 homolog OS=Homo sapiens OX=9606 GN=IFT140 PE=1 SV=1	IFT140	1	4.3	3.9	3.7	3.59	4.49	4.52	4.88	4.63	-0.35	4.19537026	-1.92	0.074	0.27	-5.09
Q3YEC7	RABL6_HUMAN	Rab-like protein 6 OS=Homo sapiens OX=9606 GN=RABL6 PE=1 SV=2	RABL6	1	4.53	4.15	3.4	3.99	4.64	4.52	4.64	4.51	-0.32	4.351944912	-1.92	0.075	0.27	-5.1
Q9P2K5	MYEF2_HUMAN	Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=3	MYEF2	2	7.59	7.54	6.81	7.21	7.54	7.54	8.05	7.37	-0.37	7.414176945	-1.91	0.076	0.27	-5.11
Q9BV36	MELPH_HUMAN	Melanophilin OS=Homo sapiens OX=9606 GN=MLPH PE=1 SV=1	MLPH	3	6.83	6.48	6.18	6.21	7.58	7.58	7.81	7.47	-0.26	7.050057148	-1.91	0.076	0.27	-5.11
P25705	ATPA_HUMAN	"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1"	ATP5F1A	9	10.03	9.6	9.84	9.34	9.23	9.09	9.68	9.11	-0.23	9.417513549	-1.91	0.076	0.27	-5.11
P31939	PUR9_HUMAN	Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3	ATIC	3	7.43	7.11	7.26	6.82	6.37	6.7	6.79	6.78	-0.24	6.878317131	-1.9	0.077	0.27	-5.12
Q15020	SART3_HUMAN	Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens OX=9606 GN=SART3 PE=1 SV=1	SART3	1	5.79	6.04	5.19	5.6	4.71	4.51	4.83	4.52	-0.3	5.215773116	-1.9	0.077	0.28	-5.12
Q8TED0	UTP15_HUMAN	U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=3	UTP15	2	7.11	6.63	6.52	6.27	7.21	7.42	7.37	7.64	-0.34	7.001191475	-1.9	0.078	0.28	-5.13
O76041	NEBL_HUMAN	Nebulette OS=Homo sapiens OX=9606 GN=NEBL PE=1 SV=1	NEBL	2	6.49	6.46	6.17	6.27	5.81	5.71	5.93	5.78	-0.17	6.073827186	-1.9	0.078	0.28	-5.13
P36915	GNL1_HUMAN	Guanine nucleotide-binding protein-like 1 OS=Homo sapiens OX=9606 GN=GNL1 PE=1 SV=2	GNL1	1	4.22	4.4	3.69	3.94	4	4.09	4.38	3.92	-0.3	4.063595638	-1.89	0.078	0.28	-5.14
P62995	TRA2B_HUMAN	Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1	TRA2B	3	9.29	9.47	8.59	9.19	8.12	8.12	8.5	8	-0.31	8.669752346	-1.89	0.079	0.28	-5.14
Q8NHV4	NEDD1_HUMAN	Protein NEDD1 OS=Homo sapiens OX=9606 GN=NEDD1 PE=1 SV=1	NEDD1	1	5.25	5.19	4.8	4.72	4.6	4.71	4.8	4.8	-0.3	4.828977726	-1.89	0.079	0.28	-5.15
Q9UKV3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2	ACIN1	4	9	8.75	8.36	8.67	8.6	8.69	8.9	8.63	-0.24	8.762122298	-1.88	0.08	0.28	-5.16
Q5VU43	MYOME_HUMAN	Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 SV=3	PDE4DIP	17	10.79	10.59	10.43	10.37	10.96	10.2	11.01	10.55	-0.25	10.62498959	-1.88	0.081	0.28	-5.16
Q9BY77	PDIP3_HUMAN	Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2	POLDIP3	2	8.11	7.01	7.04	7.03	6.62	6.47	7.15	6.29	-0.35	7.010146829	-1.87	0.081	0.28	-5.17
Q07020	RL18_HUMAN	60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2	RPL18	3	10.35	10.27	10.07	10.04	9.97	10.1	10.03	10.24	-0.18	10.12200079	-1.87	0.082	0.29	-5.17
Q8WUM4	PDC6I_HUMAN	Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1	PDCD6IP	7	9.08	9.06	8.91	8.8	8.7	8.83	8.79	9.05	-0.19	8.890485619	-1.87	0.082	0.29	-5.18
Q96DI7	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1	SNRNP40	1	5.89	5.72	5.44	5.32	6	6.04	6	6.08	-0.23	5.78767683	-1.86	0.083	0.29	-5.19
P27361	MK03_HUMAN	Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=4	MAPK3	2	7.33	7.48	7.78	7.62	7.73	7.6	7.52	7.64	0.19	7.578675863	1.86	0.083	0.29	-5.19
P22061	PIMT_HUMAN	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4	PCMT1	4	8.8	9.27	9.27	9.23	8.63	8.71	8.4	8.65	0.18	8.832916384	1.86	0.083	0.29	-5.19
Q8NAV1	PR38A_HUMAN	Pre-mRNA-splicing factor 38A OS=Homo sapiens OX=9606 GN=PRPF38A PE=1 SV=1	PRPF38A	1	5.37	4.97	5	4.84	4.74	4.96	5.17	4.98	-0.24	5.030220776	-1.86	0.084	0.29	-5.19
Q9BYJ9	YTHD1_HUMAN	YTH domain-containing family protein 1 OS=Homo sapiens OX=9606 GN=YTHDF1 PE=1 SV=1	YTHDF1	1	6.84	6.85	6.39	6.77	5.51	5.6	5.72	5.62	-0.19	6.197257462	-1.86	0.084	0.29	-5.19
Q9NYH9	UTP6_HUMAN	U3 small nucleolar RNA-associated protein 6 homolog OS=Homo sapiens OX=9606 GN=UTP6 PE=2 SV=2	UTP6	3	8.93	8.59	8.62	8.16	8.69	8.93	8.87	9.32	-0.32	8.76494461	-1.85	0.084	0.29	-5.2
O95405	ZFYV9_HUMAN	Zinc finger FYVE domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ZFYVE9 PE=1 SV=2	ZFYVE9	6	9.63	10.07	8.47	9.61	9.75	8.71	10.01	8.97	-0.54	9.459931694	-1.84	0.086	0.29	-5.21
P84090	ERH_HUMAN	Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1	ERH	3	9.89	9.86	9.36	9.46	9.45	9.56	9.94	9.29	-0.29	9.610639681	-1.83	0.087	0.3	-5.23
P09497	CLCB_HUMAN	Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB PE=1 SV=1	CLTB	1	5.56	5.09	6.17	5.05	4.21	4.48	3.7	3.96	0.4	4.821954987	1.83	0.088	0.3	-5.24
Q86U86	PB1_HUMAN	Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1	PBRM1	1	4.66	4.45	4.81	4.9	5.7	5.51	5.42	5.48	0.23	5.142817498	1.83	0.088	0.3	-5.24
P15559	NQO1_HUMAN	NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1	NQO1	8	10.3	10.41	9.86	10.22	10.37	10.5	10.49	10.5	-0.19	10.36623915	-1.83	0.088	0.3	-5.24
O75150	BRE1B_HUMAN	E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens OX=9606 GN=RNF40 PE=1 SV=4	RNF40	1	6.14	6.72	5.98	6.33	6.27	6.39	6.12	6.79	-0.2	6.348621162	-1.82	0.089	0.3	-5.25
Q16629	SRSF7_HUMAN	Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1	SRSF7	5	9.7	9.47	9.21	9.26	8.75	8.74	8.95	8.64	-0.2	9.096958005	-1.82	0.089	0.3	-5.25
P19447	ERCC3_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB OS=Homo sapiens OX=9606 GN=ERCC3 PE=1 SV=1	ERCC3	1	3.49	3.28	3.05	3.67	1.81	1.55	2.4	2.6	-0.42	2.71383484	-1.82	0.09	0.3	-5.25
Q5SW79	CE170_HUMAN	Centrosomal protein of 170 kDa OS=Homo sapiens OX=9606 GN=CEP170 PE=1 SV=1	CEP170	1	4.5	4.34	4.07	3.52	3.93	3.95	4.09	3.87	-0.34	4.000190418	-1.82	0.09	0.3	-5.26
Q08J23	NSUN2_HUMAN	tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2	NSUN2	3	6.45	6.79	6.49	6.6	6.95	6.99	7.04	7.43	-0.17	6.857710346	-1.81	0.09	0.3	-5.26
P03372	ESR1_HUMAN	Estrogen receptor OS=Homo sapiens OX=9606 GN=ESR1 PE=1 SV=2	ESR1	19	13.75	14.1	13.68	14.61	14.27	13.31	13.39	12.18	0.61	13.6807145	1.81	0.091	0.31	-5.27
P18031	PTN1_HUMAN	Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1	PTPN1	2	7.12	7.6	6.83	7.26	6.84	6.83	7.11	6.95	-0.25	7.078052187	-1.81	0.091	0.31	-5.27
Q5VV41	ARHGG_HUMAN	Rho guanine nucleotide exchange factor 16 OS=Homo sapiens OX=9606 GN=ARHGEF16 PE=1 SV=1	ARHGEF16	1	5.23	4.81	6.13	5.61	6.14	6.8	6.33	6.63	0.42	5.921308959	1.8	0.093	0.31	-5.28
O95396	MOCS3_HUMAN	Adenylyltransferase and sulfurtransferase MOCS3 OS=Homo sapiens OX=9606 GN=MOCS3 PE=1 SV=1	MOCS3	2	6.74	7.02	6.66	7.3	6.35	5.8	5.55	5.45	0.34	6.331706396	1.8	0.093	0.31	-5.29
Q9Y2I9	TBC30_HUMAN	TBC1 domain family member 30 OS=Homo sapiens OX=9606 GN=TBC1D30 PE=1 SV=2	TBC1D30	1	5.46	5.27	5.12	5.2	5.39	5.14	5.55	5.63	-0.27	5.331619159	-1.8	0.093	0.31	-5.29
O15371	EIF3D_HUMAN	Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	EIF3D	2	7.32	7.16	6.77	7.03	7.2	7.32	7.45	7.2	-0.2	7.225987109	-1.79	0.093	0.31	-5.29
Q9UN81	LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein OS=Homo sapiens OX=9606 GN=L1RE1 PE=1 SV=1	L1RE1	3	7.67	7.62	7.4	7.35	6.9	7.15	7.1	7.11	-0.17	7.269170044	-1.79	0.094	0.31	-5.3
Q96FZ2	HMCES_HUMAN	Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein OS=Homo sapiens OX=9606 GN=HMCES PE=1 SV=1	HMCES	5	8.64	9.08	8.59	9.8	9.32	8.7	8.58	8.43	0.42	8.908376837	1.79	0.094	0.31	-5.3
P61020	RAB5B_HUMAN	Ras-related protein Rab-5B OS=Homo sapiens OX=9606 GN=RAB5B PE=1 SV=1	RAB5B	2	7.52	7.79	7.45	7.54	7.06	7.19	7.23	7.39	-0.17	7.377107902	-1.79	0.094	0.31	-5.3
Q96JM3	CHAP1_HUMAN	Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens OX=9606 GN=CHAMP1 PE=1 SV=2	CHAMP1	1	3.02	4.47	3.69	4.77	4.84	4.02	4.01	3.56	0.57	4.089180718	1.79	0.094	0.31	-5.3
Q7L014	DDX46_HUMAN	Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2	DDX46	8	8.88	9.12	8.63	8.87	9	9.03	9.11	9.15	-0.18	8.974874898	-1.79	0.094	0.31	-5.3
Q3KNV8	PCGF3_HUMAN	Polycomb group RING finger protein 3 OS=Homo sapiens OX=9606 GN=PCGF3 PE=1 SV=1	PCGF3	2	6.58	6.63	6.94	6.84	6.25	5.67	5.99	5.43	0.27	6.308474204	1.79	0.095	0.31	-5.3
P30050	RL12_HUMAN	60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1	RPL12	6	10.96	11.15	10.5	10.97	10.58	10.63	10.73	10.71	-0.22	10.75701492	-1.79	0.095	0.31	-5.31
Q15181	IPYR_HUMAN	Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2	PPA1	4	9.39	9.72	9	9.36	9.03	8.59	9.22	8.71	-0.27	9.109986106	-1.78	0.095	0.31	-5.31
Q7Z3K3	POGZ_HUMAN	Pogo transposable element with ZNF domain OS=Homo sapiens OX=9606 GN=POGZ PE=1 SV=2	POGZ	4	8.38	8.97	8.55	9.56	9.15	8.3	8.34	8.05	0.45	8.695073295	1.78	0.096	0.31	-5.31
Q9NWH9	SLTM_HUMAN	SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2	SLTM	2	9.69	9.16	9.03	8.95	7.84	7.76	8.14	7.63	-0.26	8.497324667	-1.78	0.096	0.31	-5.31
O00161	SNP23_HUMAN	Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1	SNAP23	1	4.91	5.45	4.33	4.84	5.24	4.96	5.14	5.08	-0.3	4.956520708	-1.77	0.097	0.32	-5.32
P00492	HPRT_HUMAN	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=HPRT1 PE=1 SV=2	HPRT1	1	3.68	4.48	3.1	3.78	3.01	2.89	3.96	2.64	-0.49	3.508602422	-1.77	0.097	0.32	-5.32
P43304	GPDM_HUMAN	"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3"	GPD2	1	4.41	4.27	4.29	3.94	3.55	3.83	4.19	3.73	-0.25	3.919187202	-1.76	0.099	0.32	-5.34
P53396	ACLY_HUMAN	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	ACLY	6	9.05	9.34	8.61	9.26	9.14	9.17	9.4	9.28	-0.22	9.164325873	-1.76	0.099	0.32	-5.34
P28066	PSA5_HUMAN	Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3	PSMA5	1	6.25	6.36	5.91	6	5.95	6.01	6.13	5.94	-0.2	5.978478712	-1.76	0.1	0.32	-5.35
P61254	RL26_HUMAN	60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1	RPL26	1	6.57	6.78	5.92	6.66	5.85	5.92	6.17	5.87	-0.26	6.333488803	-1.76	0.1	0.32	-5.35
P35241	RADI_HUMAN	Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1	RDX	1	6.93	6.69	6.42	6.64	4.84	5.22	5.08	5.29	-0.22	5.867009555	-1.75	0.1	0.32	-5.35
Q8N5C6	SRBD1_HUMAN	S1 RNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SRBD1 PE=1 SV=2	SRBD1	2	6.68	6.51	6.95	6.93	7.91	7.92	7.78	7.86	0.22	7.276188669	1.75	0.1	0.32	-5.36
P05388	RLA0_HUMAN	60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1	RPLP0	3	7.96	8	8.15	8.36	7.71	8.08	7.66	7.52	0.29	7.909274696	1.75	0.1	0.32	-5.36
O43663	PRC1_HUMAN	Protein regulator of cytokinesis 1 OS=Homo sapiens OX=9606 GN=PRC1 PE=1 SV=2	PRC1	1	4.37	3.81	3.61	2.96	2.7	2.09	2.34	2.54	-0.43	2.983477441	-1.75	0.1	0.32	-5.36
P49736	MCM2_HUMAN	DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4	MCM2	3	5.71	6.1	5.19	5.9	6.55	6.34	6.84	6.52	-0.29	6.145921941	-1.75	0.1	0.32	-5.36
P00918	CAH2_HUMAN	Carbonic anhydrase 2 OS=Homo sapiens OX=9606 GN=CA2 PE=1 SV=2	CA2	1	6.47	6.28	5.92	5.99	6.12	6.37	6.47	6.11	-0.23	6.215024429	-1.75	0.1	0.32	-5.36
Q13435	SF3B2_HUMAN	Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2	SF3B2	10	10.71	10.84	10.36	10.7	10.34	10.32	10.61	10.44	-0.22	10.53450669	-1.74	0.1	0.32	-5.37
Q9UQ35	SRRM2_HUMAN	Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2	SRRM2	1	7.5	7.85	6.49	7.55	5.93	5.34	6.25	5.4	-0.42	6.601347153	-1.74	0.1	0.33	-5.37
P20340	RAB6A_HUMAN	Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3	RAB6A	2	8.1	7.84	7.86	7.42	8.2	8	8.25	8.29	-0.25	7.976582828	-1.74	0.1	0.33	-5.37
O94992	HEXI1_HUMAN	Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1	HEXIM1	2	7.48	7.11	6.76	6.95	7.24	7.09	7.3	7.21	-0.27	7.174235276	-1.73	0.1	0.33	-5.39
P60953	CDC42_HUMAN	Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2	CDC42	2	8.48	8.76	8.42	8.51	7.88	8.19	8.22	8.22	-0.17	8.315057276	-1.73	0.1	0.33	-5.39
O43776	SYNC_HUMAN	"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS PE=1 SV=1"	NARS	1	4.49	5.29	4.71	4.21	4.65	4.72	5.08	4.89	-0.37	4.723190464	-1.73	0.11	0.33	-5.39
Q5XKE5	K2C79_HUMAN	"Keratin, type II cytoskeletal 79 OS=Homo sapiens OX=9606 GN=KRT79 PE=1 SV=2"	KRT79	1	4.86	4.8	4.53	4.69	5.48	5.34	5.81	5.45	-0.22	5.259074189	-1.72	0.11	0.33	-5.4
O43795	MYO1B_HUMAN	Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3	MYO1B	3	8	8.04	7.76	7.89	7.56	7.63	7.76	7.73	-0.17	7.78117327	-1.72	0.11	0.33	-5.4
Q9Y383	LC7L2_HUMAN	Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2	LUC7L2	3	7.79	8.13	7.22	7.99	7.98	7.87	8.28	7.88	-0.26	7.963716358	-1.72	0.11	0.34	-5.41
O75534	CSDE1_HUMAN	Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2	CSDE1	12	10.63	10.81	10.45	10.57	10.65	10.44	10.71	10.69	-0.19	10.64929812	-1.72	0.11	0.34	-5.41
Q5T0B9	ZN362_HUMAN	Zinc finger protein 362 OS=Homo sapiens OX=9606 GN=ZNF362 PE=1 SV=1	ZNF362	1	4.7	4.14	4.07	3.67	3.77	3.76	4.22	3.66	-0.36	3.993187497	-1.71	0.11	0.34	-5.42
Q14684	RRP1B_HUMAN	Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3	RRP1B	2	5.45	5.07	5.14	4.55	6.44	6.9	6.66	7.35	-0.38	5.904735912	-1.71	0.11	0.34	-5.42
Q14165	MLEC_HUMAN	Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1	MLEC	2	6.78	6.79	6.51	6.59	6.15	6.07	6.32	6.06	-0.16	6.381444627	-1.71	0.11	0.34	-5.42
P84103	SRSF3_HUMAN	Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1	SRSF3	3	10.57	10.67	10.05	10.51	9.9	10.08	10.11	10.02	-0.21	10.24267875	-1.71	0.11	0.34	-5.42
O95983	MBD3_HUMAN	Methyl-CpG-binding domain protein 3 OS=Homo sapiens OX=9606 GN=MBD3 PE=1 SV=1	MBD3	3	7.45	7.49	7.49	7.88	7.71	7.31	7.43	7.06	0.24	7.43443605	1.71	0.11	0.34	-5.42
Q9Y6Q5	AP1M2_HUMAN	AP-1 complex subunit mu-2 OS=Homo sapiens OX=9606 GN=AP1M2 PE=1 SV=4	AP1M2	5	8.45	8.4	8.21	8.39	8.42	8.25	8.65	8.41	-0.16	8.412490628	-1.7	0.11	0.34	-5.43
Q9NZB2	F120A_HUMAN	Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2	FAM120A	8	10.57	10.43	9.99	10.3	9.79	9.8	9.96	9.77	-0.21	10.08611292	-1.7	0.11	0.34	-5.44
Q15654	TRIP6_HUMAN	Thyroid receptor-interacting protein 6 OS=Homo sapiens OX=9606 GN=TRIP6 PE=1 SV=3	TRIP6	1	7.36	5.74	7.21	7.11	7.63	7.44	7.33	7.41	0.38	7.245360555	1.7	0.11	0.34	-5.44
P42765	THIM_HUMAN	"3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2"	ACAA2	2	7.4	7.71	7.27	7.21	6.63	6.12	7.05	6.39	-0.33	6.901762189	-1.69	0.11	0.34	-5.45
Q9NY61	AATF_HUMAN	Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1	AATF	2	5.84	5.54	5.62	5.05	6.07	6.24	6.09	6.79	-0.32	5.848544322	-1.69	0.11	0.34	-5.45
P61981	1433G_HUMAN	14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2	YWHAG	4	8.64	8.44	8.57	8.44	8.38	8.58	9.77	8.51	-0.34	8.50883319	-1.69	0.11	0.34	-5.45
Q13242	SRSF9_HUMAN	Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1	SRSF9	8	10.78	10.54	10.13	10.53	10.05	10.15	10.45	10.02	-0.23	10.32897327	-1.69	0.11	0.34	-5.45
P22314	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3	UBA1	8	9.61	9.66	9.62	9.32	9.63	9.64	9.76	9.8	-0.15	9.609775645	-1.69	0.11	0.34	-5.45
O14936	CSKP_HUMAN	Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=3	CASK	1	5.47	5.62	5.42	5.2	5.5	5.34	5.86	5.5	-0.25	5.483060369	-1.69	0.11	0.34	-5.45
P0DP25	CALM3_HUMAN	Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1	CALM3	4	9	9.04	9.14	9.71	9	8.93	8.83	9	0.23	9.123711791	1.69	0.11	0.34	-5.45
P62304	RUXE_HUMAN	Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1	SNRPE	3	9.1	9.34	8.66	9.13	8.39	8.69	9.13	8.45	-0.29	8.85501399	-1.68	0.11	0.34	-5.46
Q9P0L0	VAPA_HUMAN	Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3	VAPA	1	7.39	7.57	7.24	7.45	6.14	6.04	6.51	6.24	-0.21	6.831660353	-1.68	0.11	0.34	-5.46
Q6AI08	HEAT6_HUMAN	HEAT repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=HEATR6 PE=1 SV=1	HEATR6	1	5.84	6.28	5.58	6.15	6.09	5.92	6.26	6.29	-0.23	6.063212468	-1.68	0.11	0.34	-5.46
P25311	ZA2G_HUMAN	Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2	AZGP1	1	6.78	6.11	6.38	5.32	5.25	4.73	5.55	5.15	-0.48	5.71638905	-1.68	0.11	0.34	-5.46
P81605	DCD_HUMAN	Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2	DCD	4	11.69	10	9.79	9.68	9.62	9.1	9.77	9.32	-0.65	10.05504503	-1.68	0.11	0.34	-5.46
P0DN79	CBSL_HUMAN	Cystathionine beta-synthase-like protein OS=Homo sapiens OX=9606 GN=CBSL PE=1 SV=1	CBSL	1	4.16	4.27	3.77	3.99	4.49	4.6	4.8	4.6	-0.25	4.272170285	-1.68	0.11	0.34	-5.47
P17931	LEG3_HUMAN	Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5	LGALS3	6	10.06	10.31	10.38	10.25	10.09	10	9.85	9.77	0.18	10.07498517	1.67	0.12	0.35	-5.47
P29401	TKT_HUMAN	Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3	TKT	3	9.17	9.25	9.05	8.86	8.51	8.8	8.79	8.73	-0.18	8.851832549	-1.67	0.12	0.35	-5.48
